Quarkus,Quarkus
Quarkus Security,Quarkus Security
buildtime,ビルド時
executable,実行可能ファイル
bean,Bean
augmentation,オーグメンテーション
reaugmentation,再オーグメンテーション
configuration mapping,設定マッピング
configuration property,設定プロパティ
extension method,拡張メソッド
annotation,アノテーション
Swagger,Swagger
OpenAPI,OpenAPI
Hibernate,Hibernate
Hibernate Validator,Hibernate Validator
JDBC,JDBC
Micrometer,Micrometer
Panache,Panache
RESTEasy Reactive,RESTEasy Reactive
Narayana,Narayana
Mutiny,Mutiny
Stork,Stork
Funqy,Funqy
Undertow,Undertow
SmallRye,SmallRye
Vert.x,Vert.x
AMQP,AMQP
RabbitMQ,RabbitMQ
Kafka,Kafka
Flyway,Flyway
Spring DI,Spring DI
Spring Security,Spring Security
Spring Data,Spring Data
Spring Web,Spring Web
Picocli,Picocli
Liquibase,Liquibase
Gradle,Gradle
Maven,Maven
JReleaser,JReleaser
OpenTelemetry,OpenTelemetry
OpenTracing,OpenTracing
Dev Services,Dev Services
Infinispan,Infinispan
Azure Functions,Azure Functions
Google Cloud Functions,Google Cloud Functions
Amazon Lambda,Amazon Lambda
Amazon Lambda SnapStart,Amazon Lambda SnapStart
Jakarta Persistence,Jakarta Persistence
Jakarta REST,Jakarta REST
Container Image,コンテナイメージ
GraalVM,GraalVM
Docker,Docker
kubernetes,kubernetes
OpenShift,OpenShift
OpenID Connect,OpenID Connect
WebAuthn,WebAuthn
Basic authentication,Basic認証
Bearer authentication,ベアラー認証
proactive authentication,プロアクティブ認証
authorization,認可
authorization code flow,認可コードフロー
credential,クレデンシャル
