Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/ja_JP/_guides/security-oidc-expanded-configuration.adoc.po, 701, 728, 13072, 13115, 1%
l10n/po/ja_JP/_guides/dev-ui.adoc.po, 302, 430, 3895, 5478, 29%
l10n/po/ja_JP/_guides/security-vertx-oidc-to-quarkus-oidc-migration.adoc.po, 129, 132, 3145, 3155, 1%
l10n/po/ja_JP/_guides/compose-dev-services.adoc.po, 144, 175, 2221, 2259, 2%
l10n/po/ja_JP/_guides/hibernate-orm.adoc.po, 87, 408, 1635, 7694, 79%
l10n/po/ja_JP/_guides/assistant.adoc.po, 98, 102, 1096, 1107, 1%
l10n/po/ja_JP/_guides/messaging.adoc.po, 34, 206, 777, 3805, 80%
l10n/po/ja_JP/_guides/dev-mcp.adoc.po, 38, 39, 706, 707, 1%
l10n/po/ja_JP/_guides/config-reference.adoc.po, 33, 254, 693, 4481, 85%
l10n/po/ja_JP/_guides/kubernetes-dev-services.adoc.po, 24, 34, 679, 834, 19%
l10n/po/ja_JP/_guides/qute-reference.adoc.po, 24, 882, 644, 13753, 96%
l10n/po/ja_JP/_guides/telemetry-micrometer.adoc.po, 58, 269, 619, 3366, 82%
l10n/po/ja_JP/_guides/hibernate-reactive.adoc.po, 31, 106, 588, 1701, 66%
l10n/po/ja_JP/_guides/security-authorize-web-endpoints-reference.adoc.po, 25, 235, 551, 4221, 87%
l10n/po/ja_JP/_guides/redis-reference.adoc.po, 11, 237, 483, 4082, 89%
l10n/po/ja_JP/_guides/security-oidc-bearer-token-authentication.adoc.po, 15, 246, 466, 5317, 92%
l10n/po/ja_JP/_guides/security-openid-connect-multitenancy.adoc.po, 20, 201, 442, 3594, 88%
l10n/po/ja_JP/_guides/lra-dev-services.adoc.po, 16, 20, 440, 449, 3%
l10n/po/ja_JP/_guides/azure-functions.adoc.po, 16, 42, 421, 662, 37%
l10n/po/ja_JP/_guides/hibernate-reactive-panache.adoc.po, 12, 162, 410, 3255, 88%
l10n/po/ja_JP/_guides/opentelemetry.adoc.po, 18, 148, 378, 1681, 78%
l10n/po/ja_JP/_guides/datasource.adoc.po, 12, 340, 357, 4178, 92%
l10n/po/ja_JP/_guides/websockets-next-reference.adoc.po, 14, 321, 350, 6330, 95%
l10n/po/ja_JP/_guides/extension-registry-user.adoc.po, 30, 96, 320, 1712, 82%
l10n/po/ja_JP/_guides/opentelemetry-metrics.adoc.po, 54, 174, 317, 1763, 83%
l10n/po/ja_JP/_guides/kubernetes-client.adoc.po, 11, 67, 309, 1458, 79%
l10n/po/ja_JP/_guides/deploying-to-openshift-native-howto.adoc.po, 17, 30, 303, 395, 24%
l10n/po/ja_JP/_guides/cdi-reference.adoc.po, 12, 306, 297, 6055, 96%
l10n/po/ja_JP/_guides/azure-functions-http.adoc.po, 14, 44, 282, 725, 62%
l10n/po/ja_JP/_guides/telemetry-micrometer-to-opentelemetry.adoc.po, 44, 105, 272, 1008, 74%
l10n/po/ja_JP/_guides/extension-metadata.adoc.po, 8, 81, 271, 1622, 84%
l10n/po/ja_JP/_guides/security-oidc-code-flow-authentication.adoc.po, 12, 420, 270, 10187, 98%
l10n/po/ja_JP/_guides/security-authentication-mechanisms.adoc.po, 17, 241, 266, 3800, 93%
l10n/po/ja_JP/_guides/building-native-image.adoc.po, 8, 223, 259, 4393, 95%
l10n/po/ja_JP/_guides/security-openid-connect-client-reference.adoc.po, 9, 196, 259, 4108, 94%
l10n/po/ja_JP/_guides/gradle-tooling.adoc.po, 8, 211, 255, 3883, 94%
l10n/po/ja_JP/_guides/validation.adoc.po, 5, 120, 253, 2180, 89%
l10n/po/ja_JP/_guides/rest.adoc.po, 11, 516, 244, 8585, 98%
l10n/po/ja_JP/_guides/dev-mode-differences.adoc.po, 9, 47, 236, 779, 70%
l10n/po/ja_JP/_guides/spring-web.adoc.po, 9, 125, 226, 1228, 82%
l10n/po/ja_JP/_guides/testing-components.adoc.po, 11, 75, 197, 1416, 87%
