Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/ja_JP/_versions/main/guides/security-oidc-code-flow-authentication-concept.adoc.po, 202, 395, 5641, 8660, 35%
l10n/po/ja_JP/_versions/main/guides/security-oidc-code-flow-authentication.adoc.po, 177, 294, 5441, 7687, 30%
l10n/po/ja_JP/_versions/main/guides/pulsar.adoc.po, 206, 244, 4066, 4439, 9%
l10n/po/ja_JP/_versions/main/guides/qute-reference.adoc.po, 160, 775, 3842, 11662, 68%
l10n/po/ja_JP/_versions/main/guides/native-reference.adoc.po, 87, 309, 3074, 9043, 67%
l10n/po/ja_JP/_versions/main/guides/resteasy-reactive.adoc.po, 130, 454, 2920, 7103, 59%
l10n/po/ja_JP/_versions/main/guides/datasource.adoc.po, 198, 299, 2791, 3003, 8%
l10n/po/ja_JP/_versions/main/guides/dev-ui-v2.adoc.po, 212, 219, 2783, 2831, 2%
l10n/po/ja_JP/_versions/main/guides/virtual-threads.adoc.po, 111, 130, 2621, 2771, 6%
l10n/po/ja_JP/_versions/main/guides/logging.adoc.po, 200, 302, 2586, 3109, 17%
l10n/po/ja_JP/_versions/main/guides/telemetry-micrometer.adoc.po, 180, 194, 2396, 2470, 3%
l10n/po/ja_JP/_versions/main/guides/security-authorize-web-endpoints-reference.adoc.po, 77, 128, 1896, 2254, 16%
l10n/po/ja_JP/_versions/main/guides/security-authentication-mechanisms-concept.adoc.po, 93, 160, 1822, 2281, 21%
l10n/po/ja_JP/_versions/main/guides/security-authentication-mechanisms.adoc.po, 95, 153, 1812, 2148, 16%
l10n/po/ja_JP/_versions/main/guides/security-jwt.adoc.po, 91, 313, 1643, 4623, 65%
l10n/po/ja_JP/_versions/main/guides/duplicated-context.adoc.po, 67, 74, 1578, 1589, 1%
l10n/po/ja_JP/_versions/main/guides/config-reference.adoc.po, 79, 212, 1532, 3584, 58%
l10n/po/ja_JP/_versions/main/guides/writing-extensions.adoc.po, 49, 604, 1519, 12530, 88%
l10n/po/ja_JP/_versions/main/guides/kafka.adoc.po, 54, 564, 1500, 11325, 87%
l10n/po/ja_JP/_versions/main/guides/gradle-tooling.adoc.po, 70, 184, 1418, 3500, 60%
l10n/po/ja_JP/_versions/main/guides/hibernate-orm.adoc.po, 57, 278, 1410, 5208, 73%
l10n/po/ja_JP/_versions/main/guides/cli-tooling.adoc.po, 102, 172, 1404, 2171, 36%
l10n/po/ja_JP/_versions/main/guides/rest-client-reactive.adoc.po, 73, 242, 1361, 4395, 70%
l10n/po/ja_JP/_versions/main/guides/getting-started-testing.adoc.po, 49, 232, 1352, 5261, 75%
l10n/po/ja_JP/_versions/main/guides/getting-started-dev-services.adoc.po, 78, 88, 1275, 1323, 4%
l10n/po/ja_JP/_versions/main/guides/security-basic-authentication-tutorial.adoc.po, 64, 104, 1247, 1586, 22%
l10n/po/ja_JP/_versions/main/guides/building-native-image.adoc.po, 59, 213, 1221, 4163, 71%
l10n/po/ja_JP/_versions/main/guides/cdi-integration.adoc.po, 39, 174, 1209, 2922, 59%
l10n/po/ja_JP/_versions/main/guides/deploying-to-kubernetes.adoc.po, 42, 354, 1112, 6048, 82%
l10n/po/ja_JP/_versions/main/guides/doc-contribute-docs-howto.adoc.po, 72, 143, 1098, 2110, 48%
l10n/po/ja_JP/_versions/main/guides/security-openid-connect-providers.adoc.po, 41, 121, 1081, 2230, 52%
l10n/po/ja_JP/_versions/main/guides/cdi-reference.adoc.po, 35, 228, 1076, 4279, 75%
l10n/po/ja_JP/_versions/main/guides/opentelemetry.adoc.po, 83, 147, 1022, 1812, 44%
l10n/po/ja_JP/_versions/main/guides/maven-tooling.adoc.po, 49, 283, 1005, 5464, 82%
l10n/po/ja_JP/_versions/main/guides/management-interface-reference.adoc.po, 52, 63, 990, 1011, 3%
l10n/po/ja_JP/_versions/main/guides/doc-reference.adoc.po, 66, 295, 987, 2335, 58%
l10n/po/ja_JP/_versions/main/guides/hibernate-reactive-panache.adoc.po, 29, 150, 983, 2966, 67%
l10n/po/ja_JP/_versions/main/guides/security-openid-connect-dev-services.adoc.po, 25, 112, 956, 3198, 71%
l10n/po/ja_JP/_versions/main/guides/infinispan-client-reference.adoc.po, 50, 178, 948, 2870, 67%
l10n/po/ja_JP/_versions/main/guides/_includes/smallrye-pulsar-consumer.adoc.po, 104, 118, 946, 960, 2%
l10n/po/ja_JP/_versions/main/guides/vertx-reference.adoc.po, 77, 227, 904, 2968, 70%
l10n/po/ja_JP/_versions/main/guides/ansible.adoc.po, 29, 31, 882, 884, 1%
l10n/po/ja_JP/_versions/main/guides/hibernate-search-orm-elasticsearch.adoc.po, 51, 227, 862, 3816, 78%
l10n/po/ja_JP/_versions/main/guides/security-openid-connect-multitenancy.adoc.po, 46, 139, 829, 2406, 66%
l10n/po/ja_JP/_versions/main/guides/resteasy.adoc.po, 23, 150, 822, 2883, 72%
l10n/po/ja_JP/_versions/main/guides/pulsar-getting-started.adoc.po, 33, 78, 788, 1244, 37%
l10n/po/ja_JP/_versions/main/guides/messaging-virtual-threads.adoc.po, 43, 45, 775, 779, 1%
l10n/po/ja_JP/_versions/main/guides/resteasy-reactive-virtual-threads.adoc.po, 51, 58, 758, 783, 4%
l10n/po/ja_JP/_versions/main/guides/scheduler-reference.adoc.po, 28, 96, 756, 1784, 58%
l10n/po/ja_JP/_versions/main/guides/vertx.adoc.po, 36, 102, 746, 1514, 51%
l10n/po/ja_JP/_versions/main/guides/security-openid-connect-client-reference.adoc.po, 21, 146, 721, 3090, 77%
l10n/po/ja_JP/_versions/main/guides/infinispan-client.adoc.po, 48, 77, 711, 952, 26%
l10n/po/ja_JP/_versions/main/guides/infinispan-dev-services.adoc.po, 32, 39, 695, 772, 10%
l10n/po/ja_JP/_versions/main/guides/rest-data-panache.adoc.po, 28, 109, 686, 1619, 58%
l10n/po/ja_JP/_versions/main/guides/azure-functions-http.adoc.po, 34, 45, 667, 734, 10%
l10n/po/ja_JP/_versions/main/guides/http-reference.adoc.po, 32, 213, 667, 2636, 75%
l10n/po/ja_JP/_versions/main/guides/azure-functions.adoc.po, 33, 42, 625, 657, 5%
l10n/po/ja_JP/_versions/main/guides/security-keycloak-authorization.adoc.po, 26, 115, 607, 2055, 71%
l10n/po/ja_JP/_versions/main/guides/aws-lambda-http.adoc.po, 24, 112, 605, 2177, 73%
l10n/po/ja_JP/_versions/main/guides/elasticsearch.adoc.po, 35, 83, 594, 1221, 52%
l10n/po/ja_JP/_versions/main/guides/security-oidc-bearer-token-authentication-tutorial.adoc.po, 39, 91, 589, 1232, 53%
l10n/po/ja_JP/_versions/main/guides/_includes/smallrye-pulsar-client.adoc.po, 129, 146, 584, 601, 3%
l10n/po/ja_JP/_versions/main/guides/hibernate-orm-panache.adoc.po, 19, 149, 568, 2813, 80%
l10n/po/ja_JP/_versions/main/guides/security-jpa-concept.adoc.po, 27, 49, 563, 823, 32%
l10n/po/ja_JP/_versions/main/guides/security-overview-concept.adoc.po, 32, 43, 561, 640, 13%
l10n/po/ja_JP/_versions/main/guides/security-oidc-code-flow-authentication-tutorial.adoc.po, 37, 76, 559, 917, 40%
