Filename, Last modified, Upstream Last modified, Up to date
l10n/override/ja_JP/blog.md, 2021-05-21 13:26:13 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/ja_JP/CNAME, 2022-06-08 19:18:03 +0000, 2019-03-07 11:48:18 +0000, OK
l10n/override/ja_JP/_layouts/extensions.html, 2021-02-06 14:23:31 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/ja_JP/_layouts/guides.html, 2023-04-24 04:17:16 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/ja_JP/_layouts/insights.html, 2021-12-03 01:32:18 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/ja_JP/_layouts/quarkus2.html, 2021-12-03 15:20:57 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/ja_JP/_includes/recent-posts-band.html, 2023-04-03 08:41:40 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/ja_JP/_includes/publication-entries.html, 2022-07-28 05:28:18 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/ja_JP/_includes/index-docs.html, 2023-04-24 08:56:49 +0000, 2023-07-05 14:00:36 +0000, NG
l10n/override/ja_JP/_includes/homepage-video-band.html, 2021-02-06 14:23:31 +0000, 2023-07-05 14:00:36 +0000, NG
