Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
insights_1_transcription.adoc.po, 253, 253, 8883, 8883, 0%
2024-08-06-quarkus-and-leyden.adoc.po, 121, 121, 5177, 5177, 0%
2025-10-01-secure-mcp-oidc-proxy.adoc.po, 128, 130, 3784, 3786, 1%
insights_0_transcription.adoc.po, 116, 116, 3695, 3695, 0%
2023-05-09-ministry-of-economy-finance-uruguay-adopts-quarkus.adoc.po, 141, 145, 3623, 3629, 1%
2025-09-22-secure-mcp-server-oauth2.adoc.po, 130, 132, 3609, 3611, 1%
2023-11-02-mandrel-23-0-image-size-increase.md.po, 120, 124, 3036, 3040, 1%
2025-10-31-quarkus-a2a-cloud-enhancements.adoc.po, 117, 122, 3014, 3026, 1%
2024-03-27-oidc-proxy.adoc.po, 101, 104, 2915, 2919, 1%
2025-07-23-secure-mcp-oidc-client.adoc.po, 149, 151, 2911, 2913, 1%
2021-09-13-decathlon-user-story.adoc.po, 83, 86, 2802, 2808, 1%
2023-09-19-virtual-thread-1.adoc.po, 66, 67, 2490, 2496, 1%
2026-06-01-quarkus-insights-249-coding-agents.adoc.po, 235, 237, 2369, 2372, 1%
2023-12-04-testing-quarkus-with-citrus.adoc.po, 91, 92, 2301, 2302, 1%
2025-05-21-secure-mcp-client.adoc.po, 111, 113, 2297, 2299, 1%
2024-08-19-quarkus-metaprogramming.adoc.po, 54, 54, 2278, 2278, 0%
2025-03-13-gemini-personal-assistant.adoc.po, 103, 107, 2240, 2244, 1%
2023-09-11-live-diff-and-update-using-idea.adoc.po, 99, 103, 2230, 2234, 1%
2024-10-16-quarkiverse-and-smallrye-new-release-process.adoc.po, 78, 78, 2199, 2199, 0%
2022-04-05-camel-quarkus-effortless-apis.adoc.po, 91, 111, 2183, 2490, 13%
2020-11-02-quarkus-native-on-a-raspberry-pi.adoc.po, 144, 149, 2135, 2140, 1%
2022-05-31-banco-do-brasil-open-banking-user-story.adoc.po, 83, 85, 2019, 2022, 1%
2026-06-08-quarkus-insights-250-quarkus-data.adoc.po, 119, 120, 2009, 2010, 1%
2026-05-04-semeru-scc.adoc.po, 111, 129, 1874, 1953, 5%
2023-06-23-quarkus-cli.adoc.po, 90, 90, 1855, 1855, 0%
2020-05-06-sedona-rewrites-insurance-premium.adoc.po, 50, 50, 1811, 1811, 0%
2021-12-02-logicdrop-automating-quarkus-with-gitlab.adoc.po, 118, 121, 1785, 1829, 3%
2025-04-28-secure-mcp-sse-server.adoc.po, 99, 102, 1774, 1777, 1%
2023-11-08-mandrel-23-1-image-size-increase.md.po, 88, 91, 1768, 1771, 1%
2020-10-05-contributing-for-the-first-time.adoc.po, 75, 79, 1761, 1765, 1%
2026-05-22-introducing-voting-pattern.adoc.po, 47, 48, 1744, 1745, 1%
2025-11-12-agentic-ai-patterns.adoc.po, 30, 31, 1716, 1717, 1%
2026-05-26-ai-skills-migration.adoc.po, 104, 106, 1715, 1717, 1%
2020-03-16-ennovativesolutions-uses-quarkus-with-aws-lambda.adoc.po, 58, 58, 1685, 1685, 0%
2025-02-20-agentic-ai-with-quarkus-p2.adoc.po, 65, 65, 1675, 1675, 0%
2026-05-07-introducing-agent-mcp.adoc.po, 86, 87, 1657, 1659, 1%
2023-07-12-on-the-road-to-cdi-compatibility.adoc.po, 38, 38, 1650, 1650, 0%
2024-04-22-ship-cars-leverages-quarkus-to-reach-its-goals.adoc.po, 52, 52, 1639, 1639, 0%
2019-11-13-vodafone-greece-replaces-spring-boot.adoc.po, 32, 35, 1584, 1588, 1%
2025-11-27-mmaler-blogpost-2-quarkus-runtime-and-framework-for-cloud-native-java.adoc.po, 75, 77, 1576, 1578, 1%
2024-08-01-search-standalone-mapper.adoc.po, 55, 55, 1541, 1541, 0%
2024-07-02-overriding-configuration-from-test-code.adoc.po, 70, 72, 1531, 1533, 1%
2020-04-21-io-thread-benchmark.adoc.po, 53, 56, 1528, 1537, 1%
2026-06-08-hidden-cost-rootless-container-networking.adoc.po, 92, 94, 1527, 1529, 1%
2026-06-16-quarkus-insights-251-semeru-openj9.adoc.po, 106, 106, 1492, 1492, 0%
2020-02-17-aviatar-experiences-significant-savings.adoc.po, 31, 31, 1488, 1488, 0%
2024-04-25-search-indexing-rollover.adoc.po, 55, 55, 1477, 1477, 0%
2022-11-24-reactive-crud-performance-case-study.adoc.po, 85, 100, 1454, 1676, 14%
2020-02-10-asiakastieto-chooses-quarkus-for-microservices.adoc.po, 31, 32, 1436, 1438, 1%
2024-06-14-granite-rag.adoc.po, 67, 72, 1424, 1431, 1%
2024-08-28-quarkus-3-14-1-released.adoc.po, 75, 88, 1393, 1469, 6%
2023-07-27-native-startup-rss-troubleshooting.adoc.po, 29, 29, 1362, 1362, 0%
2020-09-23-cytech-customer-story.adoc.po, 18, 18, 1360, 1360, 0%
2023-11-16-quarkus-meets-langchain4j.adoc.po, 49, 50, 1358, 1359, 1%
2019-06-26-kafka-streams-applications-with-quarkus-and-microprofile.adoc.po, 39, 41, 1340, 1343, 1%
2019-12-11-talkdesk-chooses-quarkus-for-fast-innovation.adoc.po, 44, 44, 1323, 1323, 0%
2019-07-08-runtime-performance.adoc.po, 77, 218, 1321, 1577, 17%
2026-05-25-native-pgo.adoc.po, 64, 76, 1313, 1385, 6%
2024-04-18-quarkus-saas-backend-time-tracking-app-case-study.adoc.po, 27, 28, 1310, 1311, 1%
2024-12-09-quarkus-rpi-bare-metal.asciidoc.po, 48, 49, 1296, 1297, 1%
